"","x"
"23"," 오류를 우회하기 위한 함수 추가 롯데호텔 가을 얼리버드 상품 이달 말까지 홈페이지서 판매롯데호텔 제주 가을 얼리버드 프로모션 롯데호텔 제주 제공 롯데호텔 제주가 가을 국내 여행을 준비하는 이들을 위해 얼리버드 상품 럭키 찬스 를 선보인다 이번 패키지는 지난 일부터 롯데호텔 홈페이지를 통해 단 일간만 판매된다 이번 상품은 객실 박과 함께 여 평 규모의 올데이 다이닝 레스토랑 더 캔버스 인 조식 물놀이 필수템 스위밍 쿠션 개 피트니스 클럽 무료 이용권으로 구성되었다 연박 시 객실 내 미니바 회 무료 혜택이 추가되며 사계절 야외 수영장 해온 과 어린이 놀이시설 키즈월드 제주공항 왕복 셔틀버스 체크인 시 회 발렛 서비스도 무료로 이용할 수 있다 일반 패키지 상품 예약의 경우 지정된 객실 타입만 이용할 수 있었지만 럭키 찬스 는 스위트룸을 제외한 롯데호텔 제주 내 모든 타입의 일반 객실을 동일한 패키지 혜택으로 이용할 수 있다 월 일부터 월 일까지 투숙할 수 있으며 추석 연휴 기간도 포함되었다 롯데호텔의 무료 리워즈 프로그램인 롯데호텔 리워즈 회원에게만 판매되는 특별 상품이며 요금은 만 원부터다 세금 및 봉사료 별도 제주행플특별취재팀 유용원 군사전문기자의 밀리터리시크릿 밀톡 과학이 이렇게 재밌을수가 사이언스카페 의 비하인드 스토리 트롯맨 열전 받으세요 조선일보 무단 전재 및 재배포 금지 "
"24"," 오류를 우회하기 위한 함수 추가 앵커 이인영 통일부 장관 후보자가 올 추석 이산가족 상봉을 추진하겠다고 밝혔습니다 이틀 뒤 열릴 청문회를 앞두고 이 후보자가 내놓은 여러 대북정책 구상 중 하나인데 장관에 임명될 경우 첫 추진 사업이 될 것으로 보입니다 윤봄이 기자가 보도합니다 리포트 이인영 통일부 장관 후보자는 이산가족 교류 를 정치적 고려 없이 최우선으로 추진해야 할 과제로 꼽았습니다 당장 올 추석에 상봉을 추진하겠다면서 구체적인 방식도 제안했습니다 코로나 를 고려해 판문점에서 열 가족씩 소규모로 나눠서 진행할 수 있다고 밝혔습니다 추석까지 불과 두 달 남짓 장관에 임명되면 첫 번째 추진사업이 될 가능성이 높습니다 후보자는 먹는 것 아픈 것 죽기 전에 보고 싶은 것만큼은 한미 공조 사안이 아니라 우리 스스로 판단해 추진해야 하는 문제라고 주장해왔습니다 이인영 통일부 장관 후보자 월 일 한미 워킹그룹을 통해서 할 수 있는 일과 우리 스스로 판단해서 할 수 있는 일 이런 것들을 구분해서 평양종합병원 지원과 같은 보건의료협력 사업과 식량 지원 역시 이 같은 맥락에서 적극적으로 추진하겠다는 입장입니다 특히 올해 만 톤의 쌀 지원 예산이 편성돼 있다고 강조했고 약품과 식량 등은 지원뿐 아니라 물물 교환 방식의 작은 교역 도 가능하다고 제안했습니다 이 후보자는 다만 북한의 남북공동연락사무소 폭파에 대한 손해배상 청구에는 한계가 있다고 했습니다 이 후보자는 또 후반기 한미연합훈련에 대해서는 남북대화 북미대화를 촉진하는 방향에서 관리해야 한다며 축소나 연기가 필요하다는 취지로 말했습니다 이 후보자는 오늘 출근길 인터뷰에서 현안에 대한 입장을 직접 밝힐 예정입니다 뉴스 윤봄이입니다 영상편집 이태희 그래픽 최민영윤봄이 기자 코로나 팩트체크 제대로 알아야 이긴다 우리 동네 무슨 일이 지역뉴스 더 빠르고 정확한 소식을 원하시면 뉴스 구독 "
"25"," 오류를 우회하기 위한 함수 추가 코로나로 매출 준 전통시장 활성화 취지 석 달 간 전국 곳 전통시장 주차허용행정안전부와 경찰청은 신종 코로나 바이러스 감염증 코로나 으로 매출이 줄어든 전통 시장 이용을 활성화하기 위해 오는 일부터 약 석 달 간 전국 전통시장 주변 도로에서 주차를 허용한다고 일 밝혔다 주차허용 대상 전통시장은 연중 상시 주차가 가능한 곳과 지방자치단체 경찰청이 한시적으로 선정한 곳 등 모두 곳이다 지난달 서울 마포구 망원시장이 장을 보는 시민들로 붐비고 있다 연합뉴스이들 전통시장에서는 오는 일 시작되는 대한민국 동행세일 기간부터 추석 연휴가 끝나는 월 일까지 약 석 달여 동안 최대 시간까지 주변 도로 주차가 가능하다 정부는 주차 허용에 따른 무질서와 교통혼잡을 막기 위해 경찰 순찰인력을 늘리고 지자체 주차요원을 현장에 배치해 관리할 계획이다 또 허용된 구역 이외에 주정차하거나 횡단보도 교차로 모퉁이 이내 버스정류소 이내 소화전 주변 이내 등에서의 불법 주정차 단속도 강화한다 조은임 기자 네이버 메인에서 조선비즈 받아보기 조선비즈 바로가기 "
"26"," 오류를 우회하기 위한 함수 추가 앵커 이인영 통일부 장관 후보자는 또 올 추석 이산가족 상봉을 추진하겠다고 밝혔습니다 장관에 임명될 경우 첫 추진 사업이 될 걸로 보입니다 윤봄이 기자입니다 리포트 이인영 통일부 장관 후보자는 이산가족 교류 를 정치적 고려 없이 최우선으로 추진해야 할 과제로 꼽았습니다 청문회에 앞서 제출한 서면 답변을 통해서입니다 당장 올 추석에 상봉을 추진하겠다면서 구체적인 방식도 제안했습니다 코로나 를 고려해 판문점에서 열 가족씩 소규모로 나눠서 진행할 수 있다고 밝혔습니다 추석까지 불과 두 달 남짓 장관에 임명되면 첫 번째 추진사업이 될 가능성이 높습니다 후보자는 먹는 것 아픈 것 죽기 전에 보고 싶은 것만큼은 한미 공조 사안이 아니라 우리 스스로 판단해 추진해야 하는 문제라고 주장해왔습니다 이인영 통일부 장관 후보자 월 일 한미 워킹그룹을 통해서 할 수 있는 일과 우리 스스로 판단해서 할 수 있는 일 이런 것들을 구분해서 평양종합병원 지원과 같은 보건의료협력 사업과 식량 지원 역시 이 같은 맥락에서 적극적으로 추진하겠다는 입장입니다 특히 올해 만 톤의 쌀 지원 예산이 편성돼 있다고 강조했고 약품과 식량 등은 지원뿐 아니라 물물 교환 방식의 작은 교역 도 가능하다고 제안했습니다 이 후보자는 다만 북한의 남북공동연락사무소 폭파에 대한 손해배상 청구에는 한계가 있다고 했습니다 통일부도 브리핑에서 같은 입장을 밝혔습니다 여상기 통일부 대변인 손해배상 청구 등 사법 절차에 따라 문제를 해결하는 데는 한계가 있을 수밖에 없습니다 이 후보자는 또 후반기 한미연합훈련에 대해서는 남북대화 북미대화를 촉진하는 방향에서 관리해야 한다며 축소나 연기가 필요하다는 취지로 말했습니다 이 후보자는 내일 일 출근길 인터뷰에서 현안에 대한 입장을 직접 밝힐 예정입니다 뉴스 윤봄이입니다 영상편집 이태희 그래픽 최민영윤봄이 기자 코로나 팩트체크 제대로 알아야 이긴다 우리 동네 무슨 일이 지역뉴스 더 빠르고 정확한 소식을 원하시면 뉴스 구독 "
"27"," 오류를 우회하기 위한 함수 추가 코로나 사태로 반짝 강세를 보인 한우 가격이 추석 이후 하락세로 돌아설 것이라는 전망이 나왔습니다 농업관측본부의 축산관측 자료인 한육우 월호 에 따르면 월 한우 등급 도매가격은 당 만 천 원으로 지난해 같은 기간보다 상승했습니다 월 한우 수요는 증가한 것으로 추정되며 이중 가정 내 소비 비중이 약 에 달했습니다 농업관측본부는 코로나 로 인해 집밥을 먹는 사람이 많아지고 여기에 이달 중순 긴급재난지원자금이 풀리면서 한우 수요가 늘어 가격이 올라간 것으로 분석했습니다 하지만 월 이후 미국 내 쇠고기 생산이 회복되고 한우 도축 두수도 평균보다 만 마리 많은 만에서 만 마리로 예상되는 상황이어서 한우 도매가격은 오는 월까지는 높은 수준을 유지하다가 추석 이후 하락 곡선을 보이겠다고 농업관측본부는 예상했습니다 김세진 기자 저작권자 무단복제 재배포 금지 네이버 홈에서 뉴스 채널 구독하기 새로움을 탐험하다 엠빅뉴스 층 사람들이 만든 뉴스 "
"28"," 오류를 우회하기 위한 함수 추가 역대 최대 조 억원 확정 개월 내 집행 홍남기 경제부총리 겸 기획재정부 장관이 지난 일 국회에서 열린 제 회국회 임시회 제 차 본회의에서 코로나 대응 차 추경안 관련 정부측 의견을 발언하고 있다 파이낸셜뉴스 국회 문턱을 넘어선 역대 최대 규모의 차 추가경정예산이 일부터 즉시 집행된다 정부는 경제 회복의 마중물이 될 차 추경 조 억원 가운데 인 약 조원을 개월 내 집중 투입해 마이너스 성장 만은 막겠다는 의지다 정부는 특히 이번 추경을 올해 마지막 추경으로 공언하고 재정준칙 도입 등으로 무너진 재정건전성 회복에도 역량을 쏟고 있다 최후의 보루 월까지 兆 푼다 일 정부에 따르면 차 추경은 당초 정부안보다 억원이 삭감된 조 억원으로 확정됐다 역대 추경 중 최대 규모이자 년 이후 년 만에 편성된 차 추경이다 분야별로는 보건 복지 고용 예산이 가장 큰 폭인 억원이 증액됐다 반면 산업 중소기업 에너지 분야는 억원 감액됐다 사업별로는 고용유지지원금 예산이 정부안보다 억원 증액됐다 민주노총의 반발로 노사정 합의가 결렬됐지만 고용유지지원금 지원 대상을 늘리고 지원 기간도 연장하자는 잠정 합의안을 고려해 예산을 늘렸다 청년 지원 예산도 추경안에 반영했다 구체적으로 역세권 전세임대 다가구매입임대 추가공급 사업에 억원 디지털 일자리 지원 사업에 억원 청년 창업 아이디어 발굴 지원 사업에 억원이 반영됐다 대학 간접 지원 예산도 억원 증액됐다 앞서 더불어민주당은 대학의 자구책을 전제로 간접 지원 예산을 추경에 편성키로 했다 반면 추경 처리가 지연되면서 계획대로 집행이 불가능한 사업 예산은 대폭 삭감됐다 희망일자리 사업 고효율 가전 할인 온누리 상품권 발행 사업이 각각 억원 억원 억원씩 줄었다 한국판 뉴딜 사업 예산도 정부안 조 억원 보다 억원 삭감된 조 억원으로 감소했다 사회간접자본 디지털화 등 디지털 뉴딜에 조 억원 지속 가능한 에너지 기반 구축 등 그린뉴딜에 조 억원 고용 안전망 강화를 위해 조원 등이 배정됐다 현재 차 추경은 이상 차 추경은 가까이 집행됐다 국회에서 추경 처리가 늦어진 만큼 정부는 차 추경 집행도 최대한 속도를 내기로 했다 정부는 추경이 국회를 통과하면 석달 안에 이상을 집행하겠다고 밝힌 바 있다 통과 시점을 고려하면 오는 월 초까지 조 억원을 집행한다는 얘기다 전날 정세균 국무총리는 정부서울청사에서 열린 차 추경 배정계획 관련 임시 국무회의에서 이번 추경은 세출 구조조정과 국채발행을 통해 어렵게 마련한 소중한 재원임을 명심해야 한다 며 추경의 효과 또한 역대 최대가 되도록 신속하고 효과적인 집행에 모든 역량을 집중해야 한다 고 밝혔다 재정준칙 도입 임박 더이상 퍼주기 없다 지난 월 일 차 추경 조 억원 월 일 차 추경 조 억원 을 더해 올해 세차례 추경으로 조원의 막대한 재정이 추가로 마련됐다 이에따라 국가 재정건전성은 급속도로 하락했다 차 추경 기준 재정건전성의 주요 지표인 관리재정수지는 조 억원으로 국내총생산 대비 가 되고 국가채무도 조 억원으로 늘어나 국가채무비율은 까지 악화된다 정부는 일단 대규모 재정을 투입해 위기 극복 성장 견인 세수 확대 로 이어지는 이른바 재정 선순환론 을 내세우고 있으나 정부가 과도한 장밋빛 전망에 치우쳐 있다 는 지적도 많다 이와관련 정부는 재정건전성을 지키기 위한 제도적 장치를 준비 중이다 홍남기 경제부총리 겸 기재부 장관은 최근 블룸버그통신과 인터뷰를 갖고 차 추경이 올해 추경의 마지막이다 내달 말부터 국가부채 수준을 제한하는 규정을 검토하고 있다 며 재정준칙 도입을 시사했다 한편 기획재정부는 매달 회 재정관리점검회의를 열어 추경예산 집행과 재정 현황 등을 점검할 예정이다 김경민 기자 헉 소리나는 스 토리 뉴스 헉스 아는 척 하고 싶은 당신을 위한 두유노우 저작권자 파이낸셜뉴스 무단 전재 재배포 금지 "
"29"," 오류를 우회하기 위한 함수 추가 진중권 전 동양대 교수가 일 오전 서울 여의도 국회 의원회관에서 열린 온국민공부방 제 강 우리 시대의 정의란 무엇인가 에 참석해 인사말하고 있다 연합뉴스 서울경제 문재인 정권과 날카로운 대립각을 세우고 있는 진중권 전 동양대 교수가 문 대통령을 의전 대통령 으로 빗댄 자신을 향해 비판을 내놓은 윤영찬 더불어민주당 의원 등 청와대 참모 출신 인사들을 겨냥 노무현 전 대통령은 심한 비판에도 추석날 선물 보내주더라 그게 정권의 격조 라고 일침을 놨다 진 전 교수는 일 자신의 페이스북에 글을 올려 질의응답 시간에 지나가면서 흘린 얘기에 단체로 난리를 치니 그 자체가 하나의 징후 라며 이같이 말했다 그는 전직 참모 셋에 현직까지 나서서 타부 의 존재를 상기시킨다 며 이 나라엔 절대 건드려서는 안 되는 존엄이 있다는 경고 라고 했다 이어 그런다고 달이 태양보다 밝아지냐 며 구름으로 가린다고 달이 더 밝아지는 것도 아니다 고 일갈했다 진 전 교수는 노무현 전 대통령 시절 있었던 일을 회고하며 현 정권을 정면으로 비판하기도 했다 그는 노무현 전 대통령은 내가 심하게 비판했어도 추석날 나한테 선물 보내 줍디다 안동 소주 한 병에 멸치 한 봉지 자필 서명 든 조그만 카드와 함께 라면서 그게 정권의 격조이고 그게 대통령의 품격 이라고 쏘아붙였다 다른 글에선 기형도의 시 빈집 을 차용해 진 전 교수를 비판한 신동호 연설비서관의 시 빈 꽃밭 을 다시 빈 똥밭 으로 되받아쳤다 진 전 교수는 이 시에서 쌀을 바꿔 똥을 만든 가엾은 네 사랑 똥밭 서성이고 울고 웃다가 웃다가 울고 마는 파리들아 라며 똥냄새 나는 곳에 아름다움이 있었다 추한 똥도 때론 설사 똥도 그들의 것이었다 고 적었다 이어 청결을 향해 걷는 길에 아이는 결국 청소하다가 지쳐 주저앉았지만 똥을 잃고도 파리들은 울지 않는다 똥 쌀 놈은 많다며 울지 않는다 며 아이는 문득 기형도가 불쌍해졌다 고 마무리했다 윤영찬 더불어민주당 의원 연합뉴스앞서 진 전 교수는 전날 국민의당이 개최한 온 국민 공부방 의 첫 강연자로 나서 문 대통령은 남이 써준 연설문을 그냥 읽고 탁현민 청와대 의전비서관이 해준 이벤트를 하는 의전 대통령이라는 느낌이 든다 고 언급했다 이같은 진 전 교수의 발언에 대해 윤 의원은 같은 날 자신의 페이스북에 글을 올려 자기가 보지 않은 사실을 상상하는 건 진중권씨의 자유이지만 그걸 확신하고 남 앞에서 떠들면 근거 없는 생각인 뇌피셜 이라고 목소리를 높였다 그러면서 윤 의원은 남을 비판하고 평가할 때 꼭 참고하라 저는 직접 지켜봤기에 말씀드리는 것 이라고 말한 뒤 문 대통령이 원고를 고치는 모습과 수정한 원고를 촬영한 사진을 올리기도 했다 하승창 전 청와대 시민사회수석 역시 문 대통령이 남이 써준 것 읽는 다는 것은 사실이 아니다 대체 진중권씨는 무엇을 보고 누구에게 들은 것일까 라고 진 전 교수를 겨냥했다 이같은 자신을 향한 청와대 출신 인사들의 공격에 대해 진 전 교수는 유치하다 고 맞받으면서 윤 의원이 내 말을 앵무새처럼 남의 글을 그대로 읽는다는 뜻으로 이해한 모양 이라면서 문 대통령이 원고 교정도 안 한다는 뜻이 아니라 애초에 연설에 자기 철학이 없다는 얘기 라고 날을 세웠다 그러면서 진 전 교수는 문 대통령 연설 중 내 식구 철학 과 양념 발언 빼면 기억나는게 없지 않은가 라고 지적하면서 고 故 김대중 전 대통령이나 고 노무현 전 대통령 연설문 보라 그분들의 치열한 고민의 흔적 평생에 걸쳐서 형성해온 철학을 읽을 수 있다 고 쏘아붙였다 진중권 전 동양대 교수 페이스북 조예리기자 서울경제 바로가기 네이버 채널에서 서울경제 구독해주세요 서울포럼 과학기술 초격차가 답이다저작권자 서울경제 무단 전재 및 재배포 금지 "
"30"," 오류를 우회하기 위한 함수 추가 번가 지난달 판매량 급증 일 건강식품 기획전 번가는 코로나 여파로 면역력을 강화해 주는 식품을 찾는 고객이 급증해 이를 위한 기획전 사진 을 연다고 일 밝혔다 번가의 이달 일부터 일까지 건강식품 거래액을 보면 어린이 영양제 와 인삼 유산균 프로바이오틱스 홍삼 판매량이 전년 대비 크게 늘었다 특히 최근 년간 건강식품 부문 월별 거래 비중에서는 지난달 한 달 판매량이 추석 특수 였던 년 월과 지난해 월 판매량을 앞지르며 월 단위 최고치를 기록했다 이에 따라 번가는 일부터 일까지 홍삼 비타민 건강즙 등 면역력 강화를 위한 건강식품 종을 모아 기획전을 실시한다 이와 더불어 비타민 올바르게 먹는 방법 건강 전문가들도 복용하는 영양제 베스트 건강 지켜 주는 채소와 과일 추천 등의 콘텐츠도 선보인다 황상욱 기자 네이버에서 부산일보 구독하기 클릭 터치 부산 앱 출시 부산일보 지면을 내 손 안에 부산일보 홈 바로가기 "
"31"," 오류를 우회하기 위한 함수 추가 이마트 설 사과 배 선물세트 물량 증대 가격은 낮춰올해 이른 추석의 영향으로 내년 설에는 사과 배 가격이 예년보다 저렴해질 것으로 보인다 이마트 명품 왕사과 세트 이마트 일 한국농수산식품유통공사 농산물유통정보에 따르면 지난 월 추석 직후 사과 시세는 만 원에서 만 천 원으로 배 시세는 만 원에서 만 원으로 각각 가량 하락했다 이는 올해 추석이 월 중순으로 평년보다 빠르게 시작되면서 물량 부족 및 태풍으로 인한 품질 저하로 인해 사과 배 판매가 미진했기 때문이다 이에 추석 직후 사과 배 물량이 증가하면서 월 중하순 사과 배 시세가 하락했다 이마트 는 오는 년 설을 앞두고 사과 배 선물세트 물량을 늘려 이른 추석으로 어려움을 겪었던 농가 돕기에 나선다 년 약 만 개 판매되었던 사과 선물세트는 계획 물량을 늘린 만 개로 기획했으며 배 계획 물량 역시 만 개에서 만 개로 가량 증가했다 대표 사과 배 선물세트 상품 가격도 대폭 인하했다 피코크 고당도 왕사과 는 전년 대비 실제 구매 가격이 이상 떨어졌으며 지난해 할인 품목이 아니었던 명품 왕사과 도 가 저렴해졌다 유명산지 배 정성스럽게 선별한 유명산지 배 등 배 세트 역시 최대 가량 가격을 낮췄다 가격을 낮춘 비결은 올해 추석 직후 사과 배 시세가 낮아진 시기에 산지 선점 및 사전 계약으로 저렴한 가격에 물량을 확보했기 때문이다 이마트는 배 시세가 하락한 월 추석 직후 나주 천안 아산 등 주요 산지를 돌며 갓 수확한 품질 좋은 배 물량을 대거 매입했다 냉장 보관 시 일 이상 보관이 가능한 신고 품종의 특성을 활용해 우수한 과수를 사전에 대량으로 매입 후 이마트 후레쉬센터 및 각 지역 농가 창고에 저장해서 신선도를 보존해 선물세트 가격을 낮췄다는 게 이마트 측의 설명이다 최훈학 이마트 마케팅 담당은 사전예약 판매 최대 대목인 월 첫 주를 맞아 설 선물세트 사전예약 매출이 급증할 것으로 예상된다 며 특히 올해는 사과 배 가격이 크게 낮아지면서 이를 찾는 소비자들이 많을 것으로 예상해 물량을 크게 늘렸다 고 말했다 김은영 기자 조선비즈 창간 주년 기획 다시쓰다 도시 기사 보러가기 네이버 메인에서 조선비즈 받아보기 조선비즈 바로가기 "
"32"," 오류를 우회하기 위한 함수 추가 대구경찰 최대 시간 허용 일부 주민 상인 우려 목소리에 대책 마련 계획지난해 추석명절을 앞둔 대구 수성구 신매시장에서 지역상권 활성화 행사가 벌어지고 있다 매일신문 경찰이 추석 연휴까지 개월가량 중소규모 전통시장의 주변 도로 주차를 허용하기로 했다 대구경찰청은 일 전통시장 활성화를 위해 대한민국 동행세일 이 시작된 이날부터 추석 연휴 마지막 날인 월 일까지 일간 동구 동구시장 서구 중리시장 남구 영선시장 수성구 신매시장 등 중소규모의 전통시장 곳에 대해 차 당 최대 시간 도로 주차를 허용한다 고 밝혔다 이와 함께 경찰은 도로 주차를 허용한 전통시장에 한해서는 되도록 단속을 하지 않겠다는 방침도 세웠다 이에 시장 인근 주민들과 일부 상인을 중심으로 교통 혼잡 및 안전 사고에 대한 우려의 목소리가 나오고 있다 수성구 신매시장 인근의 한 주민은 시장 근처에 아파트 단지가 즐비한데 이곳 도로에 불법 주정차를 허용한다면 교통난은 불보듯 뻔하고 사고 위험까지 높아질 것 이라고 목소리를 높였다 동구시장 한 관계자도 시장 상인회 차원에서 교통점검을 할 계획이지만 제대로 된 단속 없이 무작정 주차를 허용하면 안전이 걱정되지 않을 수 없다 며 전통시장 활성화를 위한다는 의도는 좋지만 주변 교통흐름을 방해하거나 사고가 발생할까 우려스럽다 고 했다 북구 팔달신시장 상인 씨는 개월간 시장 주차 관리가 제대로 되지 않는다면 물건을 나르며 장사를 해야 하는 상인들의 생계에도 피해를 줄 수 있다 고 우려했다 이와 관련해 대구경찰청은 각 구군과 협의해 대책을 마련하겠다는 입장이다 대구경찰청 관계자는 이번 조치가 시장 활성화 교통 혼잡 문제를 품은 양날의 검이기에 인근 주민과 상인들의 불안함이 이해가 되지만 피해를 최소화할 수 있도록 노력하겠다 며 각 시장상인회와 소통해 교통문제가 지속적으로 발생하는 곳이 있다면 다시 주차에 제한을 두거나 구군과 협의해 차량 단속을 하는 방안을 검토 중 이라고 했다 신중언 기자 네이버에서 매일신문 구독하기 매일신문 네이버 바로가기 매일신문 "
"33"," 오류를 우회하기 위한 함수 추가 김현미 부동산 세제 손봐야 홍남기 언제든 규제 양도세 종부세 등 개편 거론 임대소득세도 손볼 듯김현미 국토교통부 장관이 일 국회에서 열린 예산결산특별위원회 전체회의에서 차 추경안 편성과 관련해 부처의 기금운용변경안에 대해 제안설명하고 있다 연합뉴스추석 전 세제까지 아우르는 종합 부동산대책이 추가로 나올 가능성이 커지고 있다 대책 에도 집값 상승세가 진정되지 않자 정부 당국자들이 앞다퉈 즉각적인 조치를 시사하고 있어서다 김현미 국토교통부 장관은 지난 일 뉴스라인 에 출연해 세제 개편 중심의 부동산 대책을 언급했다 다주택자의 보유세 부담을 높이는 종합부동산세법 개정이 추진되는 것과 별개로 부동산 투자자들의 차익을 세제로 환수해야 한다고 주장했다 김 장관은 부동산 세제엔 손봐야 할 점이 있다 면서 집을 많이 가진 것은 부담되게 하고 투자 차익은 환수할 수 있는 시스템을 갖춰야 한다 고 말했다 김 장관은 앞서 라디오 김종배의 시선집중 에 출연해서도 세제 개편 필요성을 역설한 바 있다 당시 김 장관은 해외에선 실거주자와 다주택자의 세율을 차등하기도 한다 면서 이 같은 사례를 심도 있게 검토해 보완할 수 있는 게 무엇인지 따져봐야 한다 고 말했다 홍남기 경제부총리 겸 기획재정부 장관도 사실상의 추가 대책을 시사했다 홍 부총리는 같은 날 국회 기획재정위원회에 출석해 일부 비 非 규제지역을 중심으로 집값 불안 양상이 나타나 예의주시 하고 있다 며 아직 대책을 검토하는 단계는 아니지만 필요할 경우 언제든지 시행할 수 있다 고 밝혔다 기재부가 세제를 관장하는 부서라는 점에서 이 같은 언급은 의미심장하다 다음달 내놓는 세법 개정안에 관련 대책이 담길 수 있다는 뜻으로도 해석된다 전날 박선호 국토부 차관은 파주와 김포 등 풍선효과가 나타나는 지역을 겨냥해 집값이 계속 불안할 경우 당장 다음달이라도 조정대상지역이나 투기과열지구 확대가 가능하다 고 말했다 조정대상지역으로 묶일 경우 주택자의 비과세 요건 강화와 다주택자의 양도소득세 중과 등 세제 중심의 규제가 가해진다 투기과열지구는 재개발 재건축 등 정비사업 중심의 규제가 핵심이다 부동산업계에선 추석 전 추가 대책이 나올 것으로 내다보고 있다 수도권 대부분 지역이 조정대상지역 이상의 규제로 묶였음에도 집값 상승세가 가라앉지 않는 데다 오히려 지방으로 확산하는 기미를 보이고 있어서다 집값이 가파르게 상승하던 년엔 추석 전 대책 과 기 신도시 발표가 연달아 나온 바 있다 추가 대책에선 김 장관의 언급대로 단순한 규제지역 확대 외에 세제 개편 등이 이뤄질 가능성도 높다 세무업계는 주택 비과세와 다주택자의 양도세 종부세 소득세 등 부동산 세제 전반에 걸친 손질기 가해질 수 있다고 보고 있다 주택 비과세는 주택자가 년 이상 보유한 집을 매각할 때 억원까지 세금을 물리지 않는 제도다 년 대책 을 통해 조정대상지역에선 년 거주 요건이 생겼다 이 같은 거주 요건을 늘리거나 횟수를 제한하는 방법 등이 거론된다 예컨대 주택 비과세가 평생 한 번만 가능한 식이다 임대사업자의 경우 거주주택 비과세가 지난해 세법 개정을 통해 평생 차례로 제한됐다 이외에도 비과세를 소득공제로 대체하는 방안도 언급된다 문재인정부 부동산 정책의 설계자로 통하는 김수현 전 청와대 정책실장이 저서 부동산은 끝났다 에서 언급한 방식이기도 하다 종부세는 지난해 대책 에서 나온 개편안 대로 다주택자 중심으로 세율을 올리되 이를 추가로 인상하거나 공제액 등을 조정할 여지도 있다 이번 대책에서 법인의 경우 억 기본공제가 폐지되고 세율 또한 주택 숫자별 의 단일세율이 적용되도록 바뀌었다 이와 맞물려 다주택자의 양도세 중과세율 또한 단일세율로 적용하는 방안이 거론된다 현행 양도세율은 주택자의 경우 최고 다 그러나 이는 과세표준이 억원 이상일 때 적용되는 최고세율일 뿐 과표 구간별로 세율이 의 세율이 차등 적용된다 예컨대 과표가 억원이라면 억을 초과하는 억원에 대해서는 가 적용되고 억 억 구간엔 억 만 억원 구간엔 가 적용되는 식이다 만약 단일세율이 적용된다면 전체 과표에 의 세율이 적용돼 세액이 껑충 뛴다 종부세율 인상과 맞물릴 경우 보유와 매각 단계에서 모두 세금 부담이 급증하는 셈이다 세무업계는 임대소득세 개편을 가장 유력하게 점치고 있다 현행 소득세법은 연 임대소득이 만원 이하일 때 분리과세 초과일 때 종합소득세에 합산과세한다 그런데 연 소득을 따질 때는 전세보증금의 누락이 많다 부부합산 주택인 경우 월세 소득에 대해서만 과세하고 전세보증금을 과세하지 않기 때문이다 합산 주택 이상일 때부터 전세보증금에 대해 간주임대료를 따져 과세한다 한 시중은행 세무사는 올해 세법 개정안에선 전세보증금에 대한 과세가 본격화할 가능성이 높다 며 앞으로 도입될 임대차 신고제나 전 월세 상한제 계약갱신청구권 등과 맞물려 세수를 늘릴 수 있기 때문 이라고 지적했다 전형진 기자 네이버에서 한국경제 뉴스를 받아보세요 한경닷컴 바로가기 모바일한경 구독신청 한국경제 무단전재 및 재배포 금지 "
"34"," 오류를 우회하기 위한 함수 추가 대구 권소영 기자 사진 박종민 기자 자료사진 코로나 로 침체된 지역 경제 활성화를 위해 열리는 대한민국 동행세일 에 맞춰 대구 일부 전통시장 주차가 추석 연휴까지 허용한다 대구경찰청은 중소벤처기업부 주관 전국 대규모 할인행사인 대한민국 동행세일 시작일인 오는 일부터 추석 연휴 종료일인 월 일까지 일간 전통시장 한시적 주차가 허용된다 고 일 밝혔다 한시적 주차가 허용되는 전통시장은 동구 불로시장 등 전통시장 개소며 주차시간은 최대 시간까지다 주차가 허용되는 전통시장은 자치단체 협조 하에 도로 여건 시장 상인회 등의 의견을 고려해 선정했다 각 전통시장마다 도로 여건과 교통 상황에 따라 주차 허용시간이 탄력적으로 운영된다 주차가 허용되는 시장은 대구지방경찰청 홈페이지 알림마당 공지사항을 통해 확인할 수 있다 확 달라진 노컷뉴스 클릭 한 번이면 노컷뉴스 구독 보다 나은 세상 노컷브이와 함께 저작권자 노컷뉴스 무단전재 및 재배포 금지 "
